,a,b,c,d
2363,70,67,2,139.0
2364,28,35,63,126.0
2365,92,93,83,268.0
2366,89,77,40,206.0
2367,87,96,7,190.0
2368,16,35,62,113.0
2369,96,96,32,224.0
2370,31,5,8,44.0
2371,96,17,82,195.0
2372,80,15,19,114.0
2373,56,65,90,211.0
2374,66,61,9,136.0
2375,96,58,67,221.0
2376,22,47,8,77.0
2377,96,65,51,212.0
2378,61,53,39,153.0
2379,73,96,24,193.0
2380,40,69,47,156.0
2381,89,4,45,138.0
2382,23,63,69,155.0
2383,1,36,83,120.0
2384,23,61,59,143.0
2385,75,86,6,167.0
2386,34,61,81,176.0
2387,59,69,6,134.0
2388,12,96,31,139.0
2389,13,77,16,106.0
2390,95,12,29,136.0
2391,2,55,29,86.0
2392,9,91,4,104.0
2393,17,41,89,147.0
2394,49,29,41,119.0
2395,47,22,2,71.0
2396,20,24,18,62.0
2397,2,94,30,126.0
2398,83,21,63,167.0
2399,79,71,74,224.0
2400,16,37,86,139.0
2401,7,76,43,126.0
2402,10,34,22,66.0
2403,30,30,52,112.0
2404,40,5,69,114.0
2405,67,85,83,235.0
2406,55,12,74,141.0
2407,52,43,13,108.0
2408,20,55,73,148.0
2409,3,83,72,158.0
2410,9,36,17,62.0
2411,21,50,93,164.0
2412,9,46,68,123.0
2413,53,1,92,146.0
2414,93,30,10,133.0
2415,30,42,73,145.0
2416,20,37,90,147.0
2417,64,82,96,242.0
2418,13,44,33,90.0
2419,25,47,35,107.0
2420,99,49,97,245.0
2421,72,57,59,188.0
2422,37,58,35,130.0
2423,22,4,72,98.0
2424,8,27,82,117.0
2425,1,68,83,152.0
2426,89,94,59,242.0
2427,63,0,88,151.0
2428,25,56,59,140.0
2429,8,13,8,29.0
2430,89,67,37,193.0
2431,21,46,76,143.0
2432,70,13,54,137.0
2433,34,45,15,94.0
2434,60,99,49,208.0
2435,62,10,90,162.0
2436,93,14,81,188.0
2437,59,14,61,134.0
2438,61,10,91,162.0
2439,23,29,10,62.0
2440,1,16,63,80.0
2441,12,48,24,84.0
2442,92,63,23,178.0
2443,10,61,76,147.0
2444,6,54,51,111.0
2445,97,54,92,243.0
2446,14,3,76,93.0
2447,30,86,98,214.0
2448,84,28,95,207.0
2449,7,74,26,107.0
2450,73,41,84,198.0
2451,56,10,18,84.0
2452,69,11,46,126.0
2453,60,10,93,163.0
2454,11,95,3,109.0
2455,20,31,17,68.0
2456,9,16,90,115.0
2457,81,28,23,132.0
2458,43,84,22,149.0
2459,31,14,52,97.0
2460,24,40,40,104.0
2461,2,93,43,138.0
2462,62,91,83,236.0
2463,29,17,76,122.0
2464,85,8,90,183.0
2465,72,92,65,229.0
2466,8,40,78,126.0
2467,86,58,18,162.0
2468,93,73,9,175.0
2469,25,65,37,127.0
2470,86,40,9,135.0
2471,62,64,45,171.0
2472,21,62,43,126.0
2473,48,0,57,105.0
2474,19,21,73,113.0
2475,53,79,76,208.0
2476,32,45,47,124.0
2477,79,97,34,210.0
2478,0,27,77,104.0
2479,28,48,20,96.0
2480,84,17,69,170.0
2481,9,17,17,43.0
2482,3,30,86,119.0
2483,74,18,77,169.0
2484,21,61,25,107.0
2485,40,8,5,53.0
2486,45,23,84,152.0
2487,11,36,87,134.0
2488,85,29,45,159.0
2489,31,30,60,121.0
2490,68,35,98,201.0
2491,65,26,5,96.0
2492,52,80,83,215.0
2493,61,11,65,137.0
2494,9,31,35,75.0
2495,81,10,28,119.0
2496,18,37,61,116.0
2497,24,42,41,107.0
2498,73,9,58,140.0
2499,60,81,79,220.0
2500,50,10,64,124.0
2501,68,33,39,140.0
2502,90,2,71,163.0
2503,21,6,60,87.0
2504,45,75,10,130.0
2505,4,74,15,93.0
2506,28,58,89,175.0
2507,32,72,19,123.0
2508,72,49,36,157.0
2509,98,50,38,186.0
2510,57,18,18,93.0
2511,20,56,83,159.0
2512,81,33,76,190.0
2513,2,79,30,111.0
2514,38,62,54,154.0
2515,4,39,60,103.0
2516,68,55,34,157.0
2517,12,74,50,136.0
2518,52,40,99,191.0
2519,20,73,50,143.0
2520,65,95,0,160.0
2521,93,37,56,186.0
2522,71,16,47,134.0
2523,12,91,95,198.0
2524,41,33,72,146.0
2525,41,89,61,191.0
2526,2,59,49,110.0
2527,43,13,15,71.0
2528,20,91,77,188.0
2529,3,72,33,108.0
2530,33,89,32,154.0
2531,93,51,66,210.0
2532,87,99,15,201.0
2533,31,48,46,125.0
2534,75,24,16,115.0
2535,26,2,68,96.0
2536,93,24,4,121.0
2537,52,80,82,214.0
2538,14,75,94,183.0
2539,18,23,95,136.0
2540,15,89,10,114.0
2541,84,46,28,158.0
2542,55,39,4,98.0
2543,62,83,83,228.0
2544,65,2,1,68.0
2545,22,2,85,109.0
2546,37,95,71,203.0
2547,84,41,44,169.0
2548,18,56,99,173.0
2549,29,28,17,74.0
2550,8,58,50,116.0
2551,70,21,48,139.0
2552,97,34,8,139.0
2553,37,11,54,102.0
2554,37,40,16,93.0
2555,80,28,62,170.0
2556,11,35,89,135.0
2557,41,64,33,138.0
2558,31,88,9,128.0
2559,77,23,25,125.0
2560,0,17,42,59.0
2561,22,5,58,85.0
2562,31,97,79,207.0
2563,27,68,74,169.0
2564,84,82,55,221.0
2565,49,18,63,130.0
2566,70,11,3,84.0
2567,90,49,65,204.0
2568,46,34,11,91.0
2569,44,55,76,175.0
2570,79,11,41,131.0
2571,60,36,16,112.0
2572,91,5,87,183.0
2573,52,14,78,144.0
2574,82,97,90,269.0
2575,78,36,23,137.0
2576,83,43,45,171.0
2577,49,51,5,105.0
2578,95,59,48,202.0
2579,13,63,3,79.0
2580,59,90,2,151.0
2581,82,95,1,178.0
2582,75,33,86,194.0
2583,8,81,89,178.0
2584,41,2,98,141.0
2585,71,51,19,141.0
2586,78,93,6,177.0
2587,11,96,49,156.0
2588,36,55,33,124.0
2589,70,77,19,166.0
2590,92,28,61,181.0
2591,5,4,15,24.0
2592,19,47,14,80.0
2593,31,85,21,137.0
2594,37,73,1,111.0
2595,79,32,54,165.0
2596,56,69,9,134.0
2597,97,84,23,204.0
2598,91,82,7,180.0
2599,11,45,98,154.0
2600,48,27,52,127.0
2601,38,98,98,234.0
2602,99,37,95,231.0
2603,61,49,16,126.0
2604,8,70,67,145.0
2605,0,14,56,70.0
2606,90,52,55,197.0
2607,62,13,61,136.0
2608,34,49,41,124.0
2609,58,53,92,203.0
2610,8,93,84,185.0
2611,42,76,4,122.0
2612,7,79,91,177.0
2613,31,57,47,135.0
2614,99,21,27,147.0
2615,51,73,32,156.0
2616,6,13,8,27.0
2617,94,59,36,189.0
2618,54,33,33,120.0
2619,40,24,19,83.0
2620,74,73,40,187.0
2621,41,61,53,155.0
2622,65,2,68,135.0
2623,54,43,53,150.0
2624,7,59,47,113.0
2625,11,30,86,127.0
2626,91,23,98,212.0
2627,62,52,27,141.0
2628,56,40,84,180.0
2629,82,95,68,245.0
2630,85,78,36,199.0
2631,33,7,34,74.0
2632,11,8,38,57.0
2633,59,97,21,177.0
2634,24,89,89,202.0
2635,60,85,35,180.0
2636,81,24,69,174.0
2637,74,85,54,213.0
2638,53,73,67,193.0
2639,17,15,7,39.0
2640,29,54,96,179.0
2641,6,23,25,54.0
2642,39,74,47,160.0
2643,75,89,9,173.0
2644,8,40,50,98.0
2645,9,39,5,53.0
2646,31,33,68,132.0
2647,62,75,82,219.0
2648,13,85,69,167.0
2649,13,62,20,95.0
2650,62,10,27,99.0
2651,51,77,23,151.0
2652,16,13,37,66.0
2653,11,38,32,81.0
2654,29,13,82,124.0
2655,92,52,35,179.0
2656,58,98,58,214.0
2657,98,86,64,248.0
2658,93,64,70,227.0
2659,76,76,63,215.0
2660,16,94,11,121.0
2661,82,34,13,129.0
2662,59,3,25,87.0
2663,17,60,67,144.0
2664,65,48,19,132.0
2665,33,26,3,62.0
2666,24,2,14,40.0
2667,83,64,12,159.0
2668,92,36,76,204.0
2669,84,1,69,154.0
2670,31,28,18,77.0
2671,15,30,86,131.0
2672,60,69,72,201.0
2673,50,44,47,141.0
2674,92,26,5,123.0
2675,18,67,48,133.0
2676,94,28,33,155.0
2677,90,34,98,222.0
2678,29,74,11,114.0
2679,19,75,11,105.0
2680,33,48,67,148.0
2681,66,91,10,167.0
2682,38,93,19,150.0
2683,35,46,55,136.0
2684,62,66,83,211.0
2685,77,64,73,214.0
2686,81,70,3,154.0
2687,91,65,36,192.0
2688,51,80,53,184.0
2689,71,29,52,152.0
2690,0,63,46,109.0
2691,11,40,89,140.0
2692,65,65,35,165.0
2693,30,58,50,138.0
2694,57,7,58,122.0
2695,31,30,27,88.0
2696,33,55,5,93.0
2697,41,85,70,196.0
2698,26,20,0,46.0
2699,76,3,81,160.0
2700,25,16,23,64.0
2701,85,45,93,223.0
2702,98,18,17,133.0
2703,92,44,59,195.0
2704,98,18,98,214.0
2705,13,16,9,38.0
2706,76,67,64,207.0
2707,71,10,74,155.0
2708,95,10,90,195.0
2709,93,5,32,130.0
2710,66,84,56,206.0
2711,24,89,2,115.0
2712,36,74,72,182.0
2713,59,2,76,137.0
2714,49,50,95,194.0
2715,21,87,81,189.0
2716,67,63,79,209.0
2717,66,15,20,101.0
2718,98,37,70,205.0
2719,80,47,46,173.0
2720,53,51,19,123.0
2721,35,31,59,125.0
2722,81,44,17,142.0
2723,22,26,88,136.0
2724,29,35,36,100.0
2725,40,14,12,66.0
2726,81,80,32,193.0
2727,19,47,11,77.0
2728,12,14,62,88.0
2729,35,37,24,96.0
2730,83,84,55,222.0
2731,30,10,36,76.0
2732,57,68,57,182.0
2733,3,86,61,150.0
2734,78,92,53,223.0
2735,18,4,47,69.0
2736,78,19,46,143.0
2737,53,57,7,117.0
2738,57,94,88,239.0
2739,36,89,88,213.0
2740,44,69,76,189.0
2741,75,55,53,183.0
2742,57,24,17,98.0
2743,21,10,2,33.0
2744,51,93,80,224.0
2745,34,74,53,161.0
2746,85,89,34,208.0
2747,4,35,88,127.0
2748,24,79,90,193.0
2749,17,75,63,155.0
2750,18,9,23,50.0
2751,49,83,43,175.0
2752,9,56,73,138.0
2753,50,40,48,138.0
2754,78,68,77,223.0
2755,9,4,85,98.0
2756,34,26,56,116.0
2757,18,39,70,127.0
2758,21,46,0,67.0
2759,29,32,48,109.0
2760,25,86,56,167.0
2761,79,65,56,200.0
2762,61,4,55,120.0
2763,51,94,56,201.0
2764,98,24,79,201.0
2765,53,89,59,201.0
2766,18,15,76,109.0
2767,57,2,18,77.0
2768,18,90,36,144.0
2769,1,4,42,47.0
2770,82,51,88,221.0
2771,27,88,29,144.0
2772,21,34,17,72.0
2773,58,12,45,115.0
2774,86,42,32,160.0
2775,73,77,4,154.0
2776,24,24,19,67.0
2777,4,86,13,103.0
2778,41,72,55,168.0
2779,13,79,37,129.0
2780,27,37,2,66.0
2781,5,22,13,40.0
2782,17,92,93,202.0
2783,24,94,46,164.0
2784,28,38,61,127.0
2785,3,61,19,83.0
2786,4,70,20,94.0
2787,0,46,47,93.0
2788,70,1,38,109.0
2789,65,54,50,169.0
2790,96,71,17,184.0
2791,28,95,61,184.0
2792,82,88,86,256.0
2793,56,50,0,106.0
2794,73,43,88,204.0
2795,40,17,25,82.0
2796,21,51,60,132.0
2797,5,81,87,173.0
2798,84,64,83,231.0
2799,91,21,69,181.0
2800,52,76,10,138.0
2801,53,41,17,111.0
2802,22,78,47,147.0
2803,55,60,92,207.0
2804,6,96,77,179.0
2805,10,97,36,143.0
2806,87,86,2,175.0
2807,71,34,55,160.0
2808,13,42,62,117.0
2809,62,86,80,228.0
2810,58,69,3,130.0
2811,17,51,40,108.0
2812,82,39,79,200.0
2813,77,26,63,166.0
2814,5,63,18,86.0
2815,71,75,56,202.0
2816,10,23,68,101.0
2817,6,98,70,174.0
2818,37,29,68,134.0
2819,57,37,38,132.0
2820,35,71,96,202.0
2821,30,7,87,124.0
2822,79,0,58,137.0
2823,1,91,42,134.0
2824,1,3,3,7.0
2825,58,78,98,234.0
2826,79,32,4,115.0
2827,32,68,6,106.0
2828,95,22,75,192.0
2829,23,61,61,145.0
2830,76,70,74,220.0
2831,61,88,64,213.0
2832,49,87,95,231.0
2833,5,22,11,38.0
2834,54,99,50,203.0
2835,41,64,63,168.0
2836,52,25,84,161.0
2837,54,60,45,159.0
2838,51,44,75,170.0
2839,72,48,84,204.0
2840,29,54,53,136.0
2841,44,22,94,160.0
2842,73,91,38,202.0
2843,6,94,90,190.0
2844,78,24,39,141.0
2845,71,3,23,97.0
2846,28,70,22,120.0
2847,9,93,12,114.0
2848,26,58,84,168.0
2849,11,88,14,113.0
2850,5,18,1,24.0
2851,79,44,62,185.0
2852,53,13,73,139.0
2853,75,88,39,202.0
2854,22,19,75,116.0
2855,56,34,81,171.0
2856,87,55,41,183.0
2857,45,26,40,111.0
2858,34,24,87,145.0
2859,41,69,47,157.0
2860,63,38,52,153.0
2861,31,39,86,156.0
2862,12,19,26,57.0
2863,49,16,96,161.0
2864,56,54,65,175.0
2865,69,32,16,117.0
2866,9,7,11,27.0
2867,63,47,86,196.0
2868,4,27,34,65.0
2869,75,17,47,139.0
2870,74,39,18,131.0
2871,12,2,46,60.0
2872,67,19,54,140.0
2873,52,74,25,151.0
2874,6,24,76,106.0
2875,59,21,17,97.0
2876,93,35,84,212.0
2877,46,48,47,141.0
2878,98,49,17,164.0
2879,46,65,57,168.0
2880,95,13,32,140.0
2881,62,82,10,154.0
2882,21,32,97,150.0
2883,98,50,92,240.0
2884,94,95,2,191.0
2885,74,91,63,228.0
2886,46,94,9,149.0
2887,27,14,32,73.0
2888,88,67,12,167.0
2889,41,76,84,201.0
2890,6,74,65,145.0
2891,21,46,81,148.0
2892,82,66,73,221.0
2893,63,51,52,166.0
2894,38,65,83,186.0
2895,52,98,26,176.0
2896,65,61,52,178.0
2897,19,37,71,127.0
2898,95,39,40,174.0
2899,15,70,27,112.0
2900,50,66,89,205.0
2901,88,9,35,132.0
2902,58,0,37,95.0
2903,54,12,73,139.0
2904,33,87,83,203.0
2905,80,52,54,186.0
2906,55,39,70,164.0
2907,94,85,53,232.0
2908,23,8,78,109.0
2909,34,0,50,84.0
2910,97,75,74,246.0
2911,49,9,37,95.0
2912,7,2,51,60.0
2913,71,90,19,180.0
2914,73,7,8,88.0
2915,26,71,88,185.0
2916,43,23,14,80.0
2917,98,2,41,141.0
2918,37,51,62,150.0
2919,44,80,2,126.0
2920,86,0,94,180.0
2921,67,83,92,242.0
2922,65,28,63,156.0
2923,66,59,90,215.0
2924,71,70,76,217.0
2925,58,90,5,153.0
2926,15,87,93,195.0
2927,10,64,14,88.0
2928,5,32,17,54.0
2929,46,52,13,111.0
2930,50,26,68,144.0
2931,59,22,94,175.0
2932,57,69,62,188.0
2933,65,56,64,185.0
2934,22,32,76,130.0
2935,60,42,95,197.0
2936,41,79,96,216.0
2937,35,95,72,202.0
2938,64,47,63,174.0
2939,36,43,27,106.0
2940,15,93,4,112.0
2941,57,4,65,126.0
2942,67,66,48,181.0
2943,83,72,10,165.0
2944,3,46,84,133.0
2945,97,24,22,143.0
2946,50,72,68,190.0
2947,75,70,50,195.0
2948,62,19,56,137.0
2949,45,12,94,151.0
2950,91,71,83,245.0
2951,1,88,38,127.0
2952,22,42,67,131.0
2953,57,39,67,163.0
2954,24,17,90,131.0
2955,11,95,25,131.0
2956,16,36,86,138.0
2957,82,74,56,212.0
2958,74,51,47,172.0
2959,35,94,70,199.0
2960,65,46,74,185.0
2961,45,86,17,148.0
2962,51,4,57,112.0
2963,65,12,67,144.0
2964,18,32,5,55.0
2965,84,93,90,267.0
2966,35,12,82,129.0
2967,25,23,48,96.0
2968,71,28,59,158.0
2969,94,8,17,119.0
2970,9,53,14,76.0
2971,95,91,44,230.0
2972,8,81,39,128.0
2973,9,55,31,95.0
2974,48,73,62,183.0
2975,45,61,57,163.0
2976,70,61,23,154.0
2977,96,21,69,186.0
2978,48,79,65,192.0
2979,24,18,56,98.0
2980,93,91,46,230.0
2981,63,25,87,175.0
2982,55,13,46,114.0
2983,3,16,65,84.0
2984,52,72,23,147.0
2985,36,16,79,131.0
2986,88,48,75,211.0
2987,11,38,89,138.0
2988,8,49,56,113.0
2989,82,40,40,162.0
2990,63,23,35,121.0
2991,0,43,79,122.0
2992,3,57,40,100.0
2993,51,84,82,217.0
2994,81,93,9,183.0
2995,61,97,55,213.0
2996,9,37,82,128.0
2997,86,89,90,265.0
2998,99,47,90,236.0
2999,97,84,1,182.0
3000,98,88,99,285.0
3001,96,34,15,145.0
3002,85,80,7,172.0
3003,92,14,0,106.0
3004,71,71,29,171.0
3005,4,19,14,37.0
3006,25,62,8,95.0
3007,58,33,62,153.0
3008,36,45,68,149.0
3009,41,7,47,95.0
3010,69,66,12,147.0
3011,87,18,67,172.0
3012,74,23,6,103.0
3013,77,40,39,156.0
3014,33,51,7,91.0
3015,54,23,81,158.0
3016,2,30,81,113.0
3017,33,18,24,75.0
3018,22,36,21,79.0
3019,98,36,4,138.0
3020,90,96,58,244.0
3021,48,86,26,160.0
3022,66,84,50,200.0
3023,52,25,6,83.0
3024,83,67,71,221.0
3025,59,73,98,230.0
3026,34,72,58,164.0
3027,80,18,20,118.0
3028,49,79,17,145.0
3029,38,75,45,158.0
3030,90,43,95,228.0
3031,66,11,65,142.0
3032,24,4,84,112.0
3033,20,35,11,66.0
3034,0,31,14,45.0
3035,32,49,51,132.0
3036,27,73,51,151.0
3037,44,81,89,214.0
3038,73,9,22,104.0
3039,90,77,17,184.0
3040,15,62,58,135.0
3041,25,83,61,169.0
3042,47,63,62,172.0
3043,63,46,79,188.0
3044,61,33,24,118.0
3045,43,81,62,186.0
3046,80,97,3,180.0
3047,23,93,10,126.0
3048,48,60,30,138.0
3049,21,25,6,52.0
3050,18,74,36,128.0
3051,73,65,60,198.0
3052,57,70,42,169.0
3053,70,19,19,108.0
3054,16,68,84,168.0
3055,62,51,11,124.0
3056,27,43,5,75.0
3057,91,68,57,216.0
3058,87,22,90,199.0
3059,54,33,16,103.0
3060,18,53,93,164.0
3061,10,62,84,156.0
3062,2,55,16,73.0
3063,17,82,19,118.0
3064,8,43,10,61.0
3065,95,34,11,140.0
3066,95,94,86,275.0
3067,83,15,78,176.0
3068,31,22,81,134.0
3069,46,38,70,154.0
3070,1,2,84,87.0
3071,29,72,23,124.0
3072,15,77,84,176.0
3073,73,55,97,225.0
3074,71,79,55,205.0
3075,50,63,15,128.0
3076,38,60,33,131.0
3077,88,82,11,181.0
3078,84,60,41,185.0
3079,77,88,6,171.0
3080,90,90,93,273.0
3081,42,47,0,89.0
3082,22,74,27,123.0
3083,38,4,57,99.0
3084,0,11,22,33.0
3085,56,79,48,183.0
3086,47,15,12,74.0
3087,71,99,34,204.0
3088,48,82,22,152.0
3089,97,52,67,216.0
3090,51,24,12,87.0
3091,12,0,31,43.0
3092,29,70,12,111.0
3093,25,55,7,87.0
3094,38,47,17,102.0
3095,44,92,74,210.0
3096,11,78,95,184.0
3097,12,11,68,91.0
3098,75,96,15,186.0
3099,1,21,16,38.0
3100,39,45,17,101.0
3101,6,55,68,129.0
3102,24,31,51,106.0
3103,94,59,53,206.0
3104,19,73,43,135.0
3105,68,70,5,143.0
3106,67,64,90,221.0
3107,13,8,3,24.0
3108,85,68,55,208.0
3109,96,73,92,261.0
3110,59,2,13,74.0
3111,13,8,66,87.0
3112,24,56,30,110.0
3113,79,68,74,221.0
3114,27,71,1,99.0
3115,87,17,16,120.0
3116,9,44,49,102.0
3117,60,48,94,202.0
3118,75,40,51,166.0
3119,75,14,50,139.0
3120,60,2,55,117.0
3121,75,38,10,123.0
3122,96,37,39,172.0
3123,76,9,15,100.0
3124,18,91,92,201.0
3125,76,65,64,205.0
3126,48,12,76,136.0
3127,89,82,82,253.0
3128,15,24,27,66.0
3129,93,71,5,169.0
3130,24,50,74,148.0
3131,50,3,37,90.0
3132,31,21,77,129.0
3133,32,99,79,210.0
3134,31,50,0,81.0
3135,48,63,37,148.0
3136,51,32,29,112.0
3137,44,40,17,101.0
3138,81,35,20,136.0
3139,16,47,1,64.0
3140,58,17,1,76.0
3141,97,78,42,217.0
3142,67,97,9,173.0
3143,59,53,38,150.0
3144,62,31,92,185.0
3145,73,62,64,199.0
3146,87,78,59,224.0
3147,48,85,85,218.0
3148,94,34,31,159.0
3149,38,60,50,148.0
3150,36,64,13,113.0
3151,51,25,88,164.0
3152,37,60,88,185.0
3153,85,40,30,155.0
3154,96,67,57,220.0
3155,83,70,78,231.0
3156,74,71,85,230.0
3157,1,94,85,180.0
3158,35,49,52,136.0
3159,98,13,1,112.0
3160,51,17,88,156.0
3161,34,94,90,218.0
3162,6,5,43,54.0
3163,69,28,1,98.0
3164,14,52,19,85.0
3165,23,25,56,104.0
3166,41,19,78,138.0
3167,7,23,14,44.0
3168,16,16,97,129.0
3169,37,4,65,106.0
3170,29,11,67,107.0
3171,92,2,11,105.0
3172,87,19,74,180.0
3173,41,71,98,210.0
3174,10,77,22,109.0
3175,50,68,22,140.0
3176,3,3,98,104.0
3177,26,95,52,173.0
3178,83,80,10,173.0
3179,89,85,44,218.0
3180,49,70,50,169.0
3181,95,1,14,110.0
3182,75,73,54,202.0
3183,41,33,83,157.0
3184,89,79,41,209.0
3185,24,91,47,162.0
3186,5,17,10,32.0
3187,51,21,76,148.0
3188,31,98,77,206.0
3189,86,74,4,164.0
3190,83,29,47,159.0
3191,79,68,5,152.0
3192,12,77,54,143.0
3193,17,28,59,104.0
3194,2,13,14,29.0
3195,70,70,24,164.0
3196,62,99,86,247.0
3197,51,30,21,102.0
3198,84,48,26,158.0
3199,77,75,0,152.0
3200,35,70,1,106.0
3201,87,40,27,154.0
3202,6,30,98,134.0
3203,96,21,69,186.0
3204,88,89,17,194.0
3205,85,88,49,222.0
3206,21,65,22,108.0
3207,87,41,91,219.0
3208,79,88,95,262.0
3209,84,96,6,186.0
3210,59,91,46,196.0
3211,0,53,90,143.0
3212,76,85,31,192.0
3213,81,54,85,220.0
3214,86,22,35,143.0
3215,23,59,6,88.0
3216,39,60,73,172.0
3217,16,28,29,73.0
3218,9,50,33,92.0
3219,27,93,81,201.0
3220,45,17,4,66.0
3221,22,63,75,160.0
3222,15,86,44,145.0
3223,25,48,83,156.0
3224,62,49,60,171.0
3225,84,22,99,205.0
3226,67,44,76,187.0
3227,63,30,24,117.0
3228,51,94,92,237.0
3229,98,29,44,171.0
3230,15,89,71,175.0
3231,48,13,57,118.0
3232,65,88,61,214.0
3233,36,84,76,196.0
3234,60,31,93,184.0
3235,94,4,25,123.0
3236,32,60,49,141.0
3237,28,62,4,94.0
3238,83,22,50,155.0
3239,26,58,72,156.0
3240,28,74,60,162.0
3241,36,51,82,169.0
3242,78,69,78,225.0
3243,62,99,87,248.0
3244,64,87,95,246.0
3245,90,12,46,148.0
3246,90,41,74,205.0
3247,10,98,58,166.0
3248,14,75,37,126.0
3249,53,70,95,218.0
3250,36,61,64,161.0
3251,85,8,86,179.0
3252,2,66,35,103.0
3253,36,84,37,157.0
3254,1,25,68,94.0
3255,74,8,12,94.0
3256,95,63,67,225.0
3257,3,40,73,116.0
3258,59,20,20,99.0
3259,85,12,0,97.0
3260,58,81,4,143.0
3261,80,99,56,235.0
3262,68,46,23,137.0
3263,4,74,8,86.0
3264,13,61,81,155.0
3265,89,44,78,211.0
3266,63,34,81,178.0
3267,75,49,8,132.0
3268,65,98,15,178.0
3269,21,75,58,154.0
3270,63,16,71,150.0
3271,19,28,14,61.0
3272,45,26,27,98.0
3273,67,5,90,162.0
3274,33,28,90,151.0
3275,64,91,1,156.0
3276,26,89,51,166.0
3277,32,76,60,168.0
3278,81,67,94,242.0
3279,21,67,81,169.0
3280,87,7,40,134.0
3281,37,8,4,49.0
3282,22,2,21,45.0
3283,6,78,48,132.0
3284,32,44,56,132.0
3285,62,29,78,169.0
3286,62,50,82,194.0
3287,0,26,52,78.0
3288,34,71,33,138.0
3289,6,81,12,99.0
3290,65,60,69,194.0
3291,50,32,45,127.0
3292,14,64,94,172.0
3293,16,75,55,146.0
3294,84,20,2,106.0
3295,77,68,98,243.0
3296,17,92,60,169.0
3297,99,96,53,248.0
3298,41,39,81,161.0
3299,78,93,72,243.0
3300,54,10,56,120.0
3301,33,66,49,148.0
3302,8,80,50,138.0
3303,47,76,14,137.0
3304,46,1,63,110.0
3305,6,28,66,100.0
3306,85,26,93,204.0
3307,1,43,72,116.0
3308,44,99,59,202.0
3309,46,1,39,86.0
3310,28,31,88,147.0
3311,68,30,37,135.0
3312,42,40,89,171.0
3313,15,53,50,118.0
3314,4,46,16,66.0
3315,56,21,49,126.0
3316,35,4,82,121.0
3317,54,14,26,94.0
3318,83,46,89,218.0
3319,12,64,22,98.0
3320,28,38,36,102.0
3321,5,52,75,132.0
3322,89,78,43,210.0
3323,24,18,97,139.0
3324,57,1,43,101.0
3325,33,87,96,216.0
3326,52,59,58,169.0
3327,95,61,23,179.0
3328,17,86,60,163.0
3329,17,8,59,84.0
3330,27,5,57,89.0
3331,36,38,93,167.0
3332,17,81,14,112.0
3333,62,37,68,167.0
3334,17,66,85,168.0
3335,63,40,89,192.0
3336,88,32,88,208.0
3337,65,52,10,127.0
3338,67,99,9,175.0
3339,11,87,58,156.0
3340,45,53,75,173.0
3341,39,58,99,196.0
3342,6,43,68,117.0
3343,84,22,37,143.0
3344,65,29,5,99.0
3345,30,92,31,153.0
3346,95,42,28,165.0
3347,3,56,89,148.0
3348,11,40,21,72.0
3349,43,25,48,116.0
3350,81,34,47,162.0
3351,72,32,41,145.0
3352,46,71,10,127.0
3353,10,9,20,39.0
3354,18,52,67,137.0
3355,37,72,11,120.0
3356,49,15,30,94.0
3357,25,86,82,193.0
3358,62,25,18,105.0
3359,85,16,54,155.0
3360,85,35,66,186.0
3361,99,92,97,288.0
3362,85,53,31,169.0
3363,17,86,47,150.0
3364,23,53,53,129.0
3365,53,29,4,86.0
3366,34,94,90,218.0
3367,79,95,45,219.0
3368,95,64,2,161.0
3369,39,38,46,123.0
3370,29,60,47,136.0
3371,64,70,41,175.0
3372,53,63,60,176.0
3373,25,28,98,151.0
3374,18,28,19,65.0
3375,44,72,69,185.0
3376,48,48,18,114.0
3377,26,94,74,194.0
3378,57,56,28,141.0
3379,46,51,96,193.0
3380,18,44,11,73.0
3381,45,36,34,115.0
3382,50,83,33,166.0
3383,46,22,84,152.0
3384,49,68,20,137.0
3385,19,39,25,83.0
3386,1,8,47,56.0
3387,40,83,51,174.0
3388,96,14,85,195.0
3389,6,71,64,141.0
3390,89,33,36,158.0
3391,67,66,69,202.0
3392,75,72,22,169.0
3393,20,61,86,167.0
3394,86,6,0,92.0
3395,9,51,25,85.0
3396,49,21,47,117.0
3397,15,71,1,87.0
3398,81,46,87,214.0
3399,18,63,11,92.0
3400,53,75,95,223.0
3401,45,45,97,187.0
3402,14,33,51,98.0
3403,31,1,10,42.0
3404,86,88,66,240.0
3405,1,99,76,176.0
3406,80,38,1,119.0
3407,99,90,4,193.0
3408,69,99,31,199.0
3409,59,18,29,106.0
3410,23,97,64,184.0
3411,18,27,73,118.0
3412,74,61,51,186.0
3413,13,70,7,90.0
3414,2,64,53,119.0
3415,22,68,12,102.0
3416,45,23,86,154.0
3417,74,30,5,109.0
3418,65,61,86,212.0
3419,37,76,56,169.0
3420,89,13,20,122.0
3421,40,19,85,144.0
3422,33,34,59,126.0
3423,71,51,96,218.0
3424,94,73,44,211.0
3425,14,84,95,193.0
3426,59,53,9,121.0
3427,13,82,60,155.0
3428,9,21,25,55.0
3429,91,45,6,142.0
3430,51,34,50,135.0
3431,62,16,58,136.0
3432,65,75,74,214.0
3433,57,72,54,183.0
3434,75,21,6,102.0
3435,75,76,9,160.0
3436,66,30,43,139.0
3437,56,41,95,192.0
3438,14,9,83,106.0
